Shape_Leng,Shape_Area,OBJECTID_1,OBJECTID_2,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90,OBJECTID_3,OBJECTID_4,COUNT_1,AREA_1,MIN_1,MAX_1,RANGE_1,MEAN_1,STD_1,SUM_1,MEDIAN_1,PCT90_1
0.02,2.5E-05,1,1,3136,2.53066E-05,0.124427214,0.671153367,0.546726152,0.448122705,0.112698467,1405.312804,0.453208953,0.599512011,0,0,342,2.48385E-05,34.47005414,39.59366612,5.12361198,37.23433284,1.171564348,12734.14183,37.09851152,38.95517998
0.02,0.000025,2,2,3136,2.53066E-05,0.013817393,0.653971732,0.640154338,0.361115192,0.141749867,1132.457243,0.376259342,0.546089113,0,0,342,2.48385E-05,35.97398294,42.8373671,6.86338416,38.83691449,1.538885578,13282.22476,39.06900005,40.50491025
0.014263105,1.05948E-05,3,3,1299,1.04825E-05,0.086350977,0.644953847,0.55860287,0.371130223,0.124416981,482.0981596,0.371831536,0.536338866,0,0,144,1.04583E-05,34.05989174,37.90516424,3.8452725,36.09086024,1.003066443,5197.083874,36.00645413,37.57703432
0.02,2.5E-05,4,4,3136,2.53066E-05,-0.019478479,0.688959181,0.708437661,0.291623432,0.206794308,914.5310841,0.265244335,0.586058319,0,0,361,2.62185E-05,33.18487862,46.64162336,13.45674474,40.44054922,2.915450473,14599.03827,40.60198202,44.3412959
0.02,0.000025,5,5,3136,2.53066E-05,0.044466209,0.664317906,0.619851697,0.346508671,0.13698308,1086.651193,0.33584404,0.546308428,0,0,361,2.62185E-05,33.47882834,41.08734086,7.60851252,38.55306366,1.914142186,13917.65598,39.34073264,40.39006478
0.02,0.000025,6,6,3080,2.48547E-05,-0.02078617,0.654336214,0.675122384,0.268698757,0.197031477,827.5921729,0.221893854,0.581128597,0,0,324,2.35313E-05,36.31578494,47.13040022,10.81461528,41.09751052,2.680378261,13315.59341,40.98138224,44.45750858
0.01986073,2.49689E-05,7,7,3131,2.52662E-05,0.079141878,0.645522892,0.566381015,0.408284629,0.121233485,1278.339172,0.429964691,0.552932858,0,0,341,2.47659E-05,36.71569328,42.31782806,5.60213478,0,0,0,40.2054917,40.64641628
0.02,0.000025,8,8,3136,2.53066E-05,0.146491751,0.649579287,0.503087536,0.452112864,0.08681943,1417.825942,0.442157686,0.577442408,0,0,324,2.35313E-05,30.9768377,35.3177231,4.3408854,33.6353399,1.019021074,10897.85013,33.80866727,34.82005939
0.02,2.5E-05,9,9,3080,2.48547E-05,0.001827411,0.666217327,0.664389916,0.425402811,0.178524558,1310.240658,0.485349298,0.597926217,0,0,342,2.48385E-05,29.00122214,37.22839628,8.22717414,32.51172856,1.788772192,11119.01117,32.40386105,35.31943211
0.02,0.000025,10,10,3136,2.53066E-05,0.090140097,0.710239649,0.620099552,0.555882621,0.095625298,1743.2479,0.581098467,0.640839338,0,0,342,2.48385E-05,31.0622882,37.68299294,6.62070474,33.45314322,1.412634671,11440.97498,33.11139119,35.63388995
0.019854674,2.49436E-05,11,11,3075,2.48143E-05,-0.012300445,0.682196796,0.694497241,0.317045276,0.199349531,974.9142224,0.323273182,0.599766314,0,0,340,2.46933E-05,34.89730664,48.21391256,13.31660592,40.14950654,3.654280166,13650.83222,39.46719938,45.90674906
0.012167746,7.37528E-06,12,12,902,7.27887E-06,0.175496176,0.576633155,0.401136979,0.424641466,0.083484344,383.0266023,0.442577988,0.515171909,0,0,98,7.11748E-06,0,0,0,0,0,0,0,0
0.02,2.5E-05,13,13,3136,2.53066E-05,0.03365875,0.675048888,0.641390137,0.463529436,0.149590978,1453.628312,0.509893596,0.613524348,0,0,342,2.48385E-05,30.74783036,37.87782008,7.12998972,34.54426115,2.140373986,11814.13731,34.11458006,37.30701074
0.02,2.5E-05,14,14,3136,2.53066E-05,0.117325872,0.658508837,0.541182965,0.508612884,0.098451694,1595.010003,0.532320052,0.609115422,0,0,361,2.62185E-05,30.21461924,39.07412708,8.85950784,33.95107372,2.234907879,12256.33761,33.49933646,37.2318143
0.02,0.000025,15,15,3136,2.53066E-05,-0.015110743,0.659645259,0.674756003,0.378413166,0.191005474,1186.703688,0.398604155,0.597515523,0,0,361,2.62185E-05,32.50127462,50.36042912,17.8591545,38.3091155,3.491309077,13829.5907,37.60096046,43.39450436
0.02,0.000025,16,16,3136,2.53066E-05,0.044320758,0.670743167,0.626422409,0.494631529,0.139234464,1551.164476,0.544014305,0.621359497,0,0,361,2.62185E-05,32.36797184,43.3842503,11.01627846,35.87525802,1.760287876,12950.96815,35.54673044,38.25380228
0.02,2.5E-05,17,17,3080,2.48547E-05,0.08122503,0.642111301,0.560886271,0.369828428,0.11796221,1139.071559,0.37209788,0.521874428,0,0,342,2.48385E-05,34.66146326,37.85731196,3.1958487,36.99064401,0.555426061,12650.80025,37.09851152,37.51140834
0.02,0.000025,18,18,3025,2.44109E-05,0.016009208,0.593754947,0.577745739,0.308345679,0.139076514,932.7456798,0.308124453,0.496555907,0,0,342,2.48385E-05,35.0955518,39.97990238,4.88435058,37.77359046,0.979625629,12918.56794,37.77357047,39.00508308
0.02,0.000025,19,19,3136,2.53066E-05,-0.002742458,0.680228055,0.682970513,0.517081813,0.145738574,1621.568566,0.589263141,0.634163439,0,0,342,2.48385E-05,30.96658364,38.64003854,7.6734549,0,0,0,0,0
0.02,2.5E-05,20,20,3136,2.53066E-05,-0.008645068,0.593609095,0.602254163,0.264215712,0.118563251,828.5804719,0.250843406,0.431274697,0,0,361,2.62185E-05,39.51846968,43.82517488,4.3067052,41.73236195,0.701812465,15065.38266,41.76410882,42.56734352
0.02,0.000025,21,21,3080,2.48547E-05,-0.013724864,0.623192668,0.636917532,0.233364216,0.1304226,718.7617837,0.196261689,0.441243199,0,0,342,2.48385E-05,34.77767594,42.70406432,7.92638838,39.78045791,2.181298334,13604.91661,40.36272062,42.08164288
0.02,0.000025,22,22,3136,2.53066E-05,0.067685075,0.661519349,0.593834274,0.451458357,0.127726701,1415.773409,0.46352677,0.611446321,0,0,361,2.62185E-05,29.52076118,43.23727544,13.71651426,36.44698578,3.914854895,13157.36187,37.4539856,40.60540004
0.02,0.000025,23,23,3080,2.48547E-05,-0.010186757,0.622208893,0.63239565,0.266680851,0.157766626,821.3770224,0.251905262,0.493405014,0,0,342,2.48385E-05,37.5565262,44.7856385,7.2291123,41.13049586,1.775946251,14066.62958,41.01556244,43.60983962
0.021336922,2.15198E-05,24,24,2685,2.16672E-05,0.113690197,0.665836394,0.552146196,0.451342035,0.118621123,1211.853363,0.485023648,0.577266002,0,0,310,2.25145E-05,31.21951712,38.53407992,7.3145628,34.64074565,1.712747541,10738.63115,34.16926838,37.27795757
0.02,0.000025,25,25,3080,2.48547E-05,0.049187727,0.658590913,0.609403186,0.351331729,0.177474254,1082.101726,0.378099561,0.589102238,0,0,342,2.48385E-05,30.02321012,39.231356,9.20814588,36.00850294,1.958671588,12314.90801,36.46959584,38.00599583
0.02,2.5E-05,26,26,3080,2.48547E-05,0.023148147,0.681952477,0.658804329,0.324590018,0.177059347,999.7372564,0.321173474,0.572106123,0,0,361,2.62185E-05,33.44806616,41.97260804,8.52454188,38.41985556,2.081605281,13869.56786,38.60927636,40.95062006
0.018810042,2.12657E-05,27,27,2633,2.12475E-05,0.178040951,0.668349504,0.490308553,0.4925141,0.098049247,1296.789624,0.49201718,0.614089704,0,0,288,2.09167E-05,30.07448042,34.91097872,4.8364983,32.1495034,1.411165759,9259.056978,31.73222012,34.51756462
0.02,0.000025,28,28,3080,2.48547E-05,0.035422679,0.658119678,0.622696999,0.393735888,0.148930998,1212.706535,0.407979399,0.567034543,0,0,342,2.48385E-05,29.0627465,38.75625122,9.69350472,35.1419949,2.398905713,12018.56225,35.74839362,37.78519174
0.010848899,7.21424E-06,29,29,894,7.21431E-06,0.108452812,0.63757813,0.529125318,0.41693642,0.119275079,372.7411597,0.433857441,0.559159553,0,0,101,7.33536E-06,31.75272824,39.09805322,7.34532498,35.71360427,1.452928882,3607.074031,35.8816964,37.52918204
0.012144122,7.39572E-06,30,30,924,7.45641E-06,0.198063508,0.652406394,0.454342887,0.462121146,0.105542649,426.9999388,0.487515479,0.583148855,0,0,107,7.77112E-06,31.07254226,36.91735646,5.8448142,34.46273894,1.36426049,3687.513066,34.64095514,35.93980274
0.02,0.000025,31,31,3080,2.48547E-05,-0.008653513,0.640946746,0.649600259,0.352271221,0.122919749,1084.995361,0.382760033,0.438528877,0,0,342,2.48385E-05,32.01591578,45.44189834,13.42598256,42.1390916,3.091947698,14411.56933,43.2133493,44.83007276
0.02,0.000025,32,32,3080,2.48547E-05,0.099203475,0.661830366,0.562626891,0.421707022,0.120169487,1298.857628,0.412950307,0.582582057,0,0,361,2.62185E-05,0,0,0,0,0,0,0,0
0.02,0.000025,33,33,3080,2.48547E-05,-0.033155486,0.654298544,0.68745403,0.509797733,0.137645004,1570.177019,0.558249295,0.601634288,0,0,324,2.35313E-05,28.03050446,38.73232508,10.70182062,30.78191561,2.72954102,9973.340659,29.56177742,35.27226343
0.02,2.5E-05,34,34,3025,2.44109E-05,0.034624357,0.65144521,0.616820853,0.389873614,0.133141749,1179.367682,0.410177678,0.549653745,0,0,342,2.48385E-05,34.8562904,38.3255807,3.4692903,37.00414618,0.797951428,12655.41799,37.17712598,37.84876691
0.02,0.000025,35,35,3136,2.53066E-05,0.121517487,0.637714267,0.51619678,0.457276617,0.094028047,1434.019471,0.454514116,0.578502417,0,0,342,2.48385E-05,33.40021388,43.09030058,9.6900867,38.74658682,2.498732924,13251.33269,38.96133242,41.9486819
0.02,2.5E-05,36,36,3080,2.48547E-05,-0.000467508,0.669478118,0.669945627,0.416489828,0.109274626,1282.788671,0.424880803,0.552912951,0,0,361,2.62185E-05,33.90608084,40.25334398,6.34726314,36.01208297,1.036942726,13000.36195,35.91245858,37.11560162
0.02,0.000025,37,37,3025,2.44109E-05,0.017810825,0.572493017,0.554682191,0.24409102,0.133314001,738.3753346,0.222026125,0.435534656,0,0,342,2.48385E-05,38.2401302,43.09713662,4.85700642,40.72986794,1.30137847,13929.61483,40.64299826,42.53316332
0.02,0.000025,38,38,3080,2.48547E-05,-0.012012012,0.663015544,0.675027557,0.37492252,0.163624028,1154.761361,0.41164133,0.560903364,0,0,342,2.48385E-05,34.5828488,39.6756986,5.0928498,36.82916755,1.153890344,12595.5753,36.7362014,38.65371062
0.02,0.000025,39,39,3136,2.53066E-05,0.004466981,0.640492916,0.636025935,0.247656842,0.16235896,776.6518554,0.222471535,0.496664003,0,0,361,2.62185E-05,36.59606258,45.4521524,8.85608982,40.49530382,1.582593596,14618.80468,40.42424498,42.43062272
0.020004222,2.26174E-05,40,40,2827,2.28131E-05,0.06122449,0.680407345,0.619182855,0.417567457,0.148494117,1180.463201,0.450412184,0.594170368,0,0,295,2.14251E-05,32.50127462,40.49260538,7.99133076,35.69247713,2.235530225,10529.28075,35.14340408,39.22451996
0.02,0.000025,41,41,3080,2.48547E-05,0.010125278,0.676908076,0.666782797,0.37968947,0.139321979,1169.443569,0.394275457,0.555350012,0,0,342,2.48385E-05,36.64049684,41.8632314,5.22273456,38.70960824,1.27997767,13238.68602,38.63491151,40.55720596
0.02,2.5E-05,42,42,3136,2.53066E-05,-0.029239766,0.604497135,0.633736901,0.162776288,0.151460467,510.4664389,0.109646089,0.415718853,0,0,324,2.35313E-05,38.31874466,46.83986852,8.52112386,43.83820344,1.623207882,14203.57792,43.84910102,46.00450443
0.02,0.000025,43,43,3080,2.48547E-05,0.005408609,0.672082543,0.666673934,0.348952251,0.190999785,1074.772934,0.364386141,0.582436585,0,0,342,2.48385E-05,34.53499652,45.8623148,11.32731828,39.07792488,3.122110186,13364.65031,38.28627347,43.37194543
0.02,0.000025,44,44,3136,2.53066E-05,-0.082125604,0.657589674,0.739715278,0.386387675,0.186184978,1211.711749,0.450134784,0.586663157,0,0,361,2.62185E-05,29.7121703,42.89205542,13.17988512,35.05712985,3.365866644,12655.62387,35.10922388,39.6586085
0.02,0.000025,45,45,3080,2.48547E-05,0.118732527,0.621862829,0.503130302,0.387965912,0.108990807,1194.935008,0.396591634,0.525334376,0,0,342,2.48385E-05,33.7112537,39.41251106,5.70125736,36.70897717,1.393644223,12554.47019,36.81139784,38.43153932
0.02,0.000025,46,46,3080,2.48547E-05,-0.010200227,0.639452815,0.649653042,0.264861709,0.183805345,815.7740642,0.259672344,0.516540486,0,0,361,2.62185E-05,35.20492844,52.23350408,17.02857564,42.76686689,3.064680142,15438.83895,42.19477934,46.96633526
0.02,2.5E-05,47,47,3136,2.53066E-05,0.103667587,0.689507782,0.585840195,0.495264619,0.113499144,1553.149844,0.512426108,0.621234596,0,0,324,2.35313E-05,30.98709176,38.52382586,7.5367341,34.55070464,1.683839101,11194.4283,34.50936137,36.9925529
0.02,2.5E-05,48,48,3136,2.53066E-05,0.0117731,0.652858436,0.641085336,0.379917961,0.162553105,1191.422725,0.394255817,0.580350459,0,0,342,2.48385E-05,33.91291688,41.27191394,7.35899706,38.08820821,1.577445238,13026.16721,38.07264722,40.32854042
0.02,0.000025,49,49,3025,2.44109E-05,0.123381943,0.671100497,0.547718555,0.426256167,0.122075407,1289.424906,0.437726855,0.577482271,0,0,324,2.35313E-05,31.99540766,40.16105744,8.16564978,36.21622983,1.928050617,11734.05847,36.50719406,38.84853776
0.02,0.000025,50,50,3080,2.48547E-05,0.029240483,0.658858776,0.629618293,0.332237452,0.147873027,1023.291351,0.320171013,0.549916571,0,0,324,2.35313E-05,33.58820498,38.64003854,5.05183356,36.71972317,1.217772041,11897.19031,37.01477003,38.02923837
0.02,0.000025,51,51,3080,2.48547E-05,0.049249407,0.642205715,0.592956308,0.308443801,0.206378333,950.0069068,0.260602713,0.575436956,0,0,342,2.48385E-05,34.34016938,43.78757666,9.44740728,37.4874762,2.525279214,12820.71686,37.10363855,41.2473042
0.02,0.000025,52,52,3080,2.48547E-05,0.055457227,0.639787972,0.584330745,0.422907657,0.149514334,1302.555583,0.464415029,0.588031977,0,0,342,2.48385E-05,33.5232626,41.8974116,8.374149,37.60121032,1.909730159,12859.61393,37.68299294,39.99596707
0.02,0.000025,53,53,3080,2.48547E-05,-0.016227912,0.697447896,0.713675808,0.50966534,0.134311952,1569.769246,0.542547405,0.644329453,0,0,342,2.48385E-05,27.1828355,36.47301386,9.29017836,31.19778971,1.84941355,10669.64408,30.91531334,33.72150776
0.02,0.000025,54,54,3080,2.48547E-05,-0.006402336,0.650635481,0.657037817,0.244161641,0.19025522,752.0178549,0.191691905,0.541991282,0,0,361,2.62185E-05,37.39587926,52.60606826,15.210189,43.92488449,4.449041083,15856.8833,42.45454886,50.71932122
0.02,0.000025,55,55,3136,2.53066E-05,-0.001655629,0.661237776,0.662893405,0.418530564,0.179687555,1312.511849,0.463382974,0.611893594,0,0,342,2.48385E-05,31.4895407,44.15672282,12.66718212,37.00600511,2.835764851,12656.05375,36.77892665,41.11810304
0.02,0.000025,56,56,3025,2.44109E-05,0.046150137,0.667225778,0.621075641,0.384714882,0.14650254,1163.76252,0.404283255,0.568093812,0,0,324,2.35313E-05,30.9768377,39.47403542,8.49719772,36.7894339,1.85659592,11919.77658,37.22497826,38.7528332
0.02,0.000025,57,57,3080,2.48547E-05,-0.024236038,0.669339776,0.693575814,0.288044231,0.212123546,887.1762311,0.315170661,0.588875473,0,0,324,2.35313E-05,32.26884926,41.96235398,9.69350472,38.52150498,2.718287578,12480.96761,39.65006345,41.12493908
